estudiante1@ucv.ve,2026-02-21T09:56:57.5341343,123.00
estudiante1@ucv.ve,2026-02-21T09:57:12.7563492,100.50
estudiante1@ucv.ve,2026-02-21T09:57:27.771922,100.53
user@ucv.ve,2026-02-26T22:37:25.8966548,10.00
user@ucv.ve,2026-02-26T22:37:25.9021762,200.00
user@ucv.ve,2026-02-26T22:37:25.9021762,-40.25
user@ucv.ve,2026-02-26T22:37:25.9137221,100.00
user@ucv.ve,2026-02-26T22:37:25.9137221,25.50
otro@ucv.ve,2026-02-26T22:37:25.9147221,99.99
user@ucv.ve,2026-02-26T22:38:58.2910088,10.00
user@ucv.ve,2026-02-26T22:38:58.29701,200.00
user@ucv.ve,2026-02-26T22:38:58.2985185,-40.25
user@ucv.ve,2026-02-26T22:38:58.3110463,100.00
user@ucv.ve,2026-02-26T22:38:58.3110463,25.50
otro@ucv.ve,2026-02-26T22:38:58.3110463,99.99
